Category,Sub-Category,Product Name,Product ID
,,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,FUR-BO-10004690
,,O'Sullivan Cherrywood Estates Traditional Bookcase,FUR-BO-10001619
,,"O'Sullivan Elevations Bookcase, Cherry Finish",FUR-BO-10003034
,,O'Sullivan Living Dimensions 2-Shelf Bookcases,FUR-BO-10001337
,,O'Sullivan Living Dimensions 3-Shelf Bookcases,FUR-BO-10004357
,,O'Sullivan Living Dimensions 5-Shelf Bookcases,FUR-BO-10003272
,,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,FUR-BO-10003965
,,O'Sullivan Plantations 2-Door Library in Landvery Oak,FUR-BO-10000780
,,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",FUR-BO-10004834
,,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",FUR-BO-10002916
,,Rush Hierlooms Collection Rich Wood Bookcases,FUR-BO-10004360
,,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",FUR-BO-10004409
,,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",FUR-BO-10003894
,,Sauder Barrister Bookcases,FUR-BO-10002268
,,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",FUR-BO-10000330
,,"Sauder Camden County Collection Libraries, Planked Cherry Finish",FUR-BO-10003159
,,Sauder Camden County Collection Library,FUR-BO-10003893
,,Sauder Cornerstone Collection Library,FUR-BO-10003433
,,"Sauder Facets Collection Library, Sky Alder Finish",FUR-BO-10003966
,,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",FUR-BO-10001918
,,"Sauder Forest Hills Library, Woodland Oak Finish",FUR-BO-10002213
,,Sauder Inglewood Library Bookcases,FUR-BO-10000362
,,"Sauder Mission Library with Doors, Fruitwood Finish",FUR-BO-10001601
,Chairs,Bevis Steel Folding Chairs,FUR-CH-10004886
,,DMI Arturo Collection Mission-style Design Wood Chair,FUR-CH-10002602
,,"Global Airflow Leather Mesh Back Chair, Black",FUR-CH-10000665
,,"Global Armless Task Chair, Royal Blue",FUR-CH-10003535
,,Global Chrome Stack Chair,FUR-CH-10004540
,,Global Comet Stacking Arm Chair,FUR-CH-10000309
,,Global Comet Stacking Armless Chair,FUR-CH-10000155
,,Global Commerce Series High-Back Swivel/Tilt Chairs,FUR-CH-10003379
,,Global Commerce Series Low-Back Swivel/Tilt Chairs,FUR-CH-10003981
,,Global Deluxe High-Back Manager's Chair,FUR-CH-10004063
,,Global Deluxe High-Back Office Chair in Storm,FUR-CH-10001190
,,Global Deluxe Office Fabric Chairs,FUR-CH-10001891
,,"Global Deluxe Stacking Chair, Gray",FUR-CH-10002774
,,Global Deluxe Steno Chair,FUR-CH-10003396
,,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,FUR-CH-10000229
,,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,FUR-CH-10002317
,,Global Ergonomic Managers Chair,FUR-CH-10000785
,,Global Executive Mid-Back Manager's Chair,FUR-CH-10000847
,,"Global Fabric Manager's Chair, Dark Gray",FUR-CH-10004218
,,"Global Geo Office Task Chair, Gray",FUR-CH-10000225
,,Global Highback Leather Tilter in Burgundy,FUR-CH-10000422
,,"Global High-Back Leather Tilter, Burgundy",FUR-CH-10002880
,,Global Italian Leather Office Chair,FUR-CH-10003761
,,"Global Leather & Oak Executive Chair, Burgundy",FUR-CH-10001714
,,"Global Leather and Oak Executive Chair, Black",FUR-CH-10004495
,,Global Leather Executive Chair,FUR-CH-10001394
,,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",FUR-CH-10002965
,,"Global Leather Task Chair, Black",FUR-CH-10003061
,,Global Low Back Tilter Chair,FUR-CH-10004860
,,"Global Manager's Adjustable Task Chair, Storm",FUR-CH-10004853
,,"Global Push Button Manager's Chair, Indigo",FUR-CH-10004477
,,"Global Stack Chair with Arms, Black",FUR-CH-10004754
,,"Global Stack Chair without Arms, Black",FUR-CH-10002304
,,Global Super Steno Chair,FUR-CH-10004289
,,"Global Task Chair, Black",FUR-CH-10001146
,,Global Troy Executive Leather Low-Back Tilter,FUR-CH-10001215
,,"Global Value Steno Chair, Gray",FUR-CH-10003817
,,"Global Wood Trimmed Manager's Task Chair, Khaki",FUR-CH-10003774
,,GuestStacker Chair with Chrome Finish Legs,FUR-CH-10003973
,,Harbour Creations 67200 Series Stacking Chairs,FUR-CH-10004875
,,Harbour Creations Steel Folding Chair,FUR-CH-10001270
,,High-Back Leather Manager's Chair,FUR-CH-10000513
,,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,FUR-CH-10003312
,,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,FUR-CH-10004086
,,Hon 4070 Series Pagoda Round Back Stacking Chairs,FUR-CH-10003746
,,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,FUR-CH-10002331
,,HON 5400 Series Task Chairs for Big and Tall,FUR-CH-10002024
,,Hon Comfortask Task/Swivel Chairs,FUR-CH-10001545
,,Hon Deluxe Fabric Upholstered Stacking Chairs,FUR-CH-10002126
,,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",FUR-CH-10000454
,,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",FUR-CH-10002758
,,Hon Every-Day Chair Series Swivel Task Chairs,FUR-CH-10001802
,,Hon Every-Day Series Multi-Task Chairs,FUR-CH-10004997
,,Hon GuestStacker Chair,FUR-CH-10002335
,,Hon Mobius Operator's Chair,FUR-CH-10002084
,,Hon Multipurpose Stacking Arm Chairs,FUR-CH-10000015
,,Hon Olson Stacker Chairs,FUR-CH-10002073
,,Hon Olson Stacker Stools,FUR-CH-10000988
,,Hon Pagoda Stacking Chairs,FUR-CH-10002320
,,Hon Valutask Swivel Chairs,FUR-CH-10003846
,,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",FUR-CH-10002439
,,"Leather Task Chair, Black",FUR-CH-10002961
,,"Lifetime Advantage Folding Chairs, 4/Carton",FUR-CH-10004675
,,"Metal Folding Chairs, Beige, 4/Carton",FUR-CH-10000553
,,Novimex Fabric Task Chair,FUR-CH-10003833
,,Novimex High-Tech Fabric Mesh Task Chair,FUR-CH-10003956
,,Novimex Swivel Fabric Task Chair,FUR-CH-10000863
,,Novimex Turbo Task Chair,FUR-CH-10003968
,,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,FUR-CH-10001708
,,Office Star - Contemporary Task Swivel Chair,FUR-CH-10003199
,,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",FUR-CH-10002044
,,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",FUR-CH-10003298
,,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,FUR-CH-10000749
,,Office Star - Ergonomically Designed Knee Chair,FUR-CH-10002372
,,Office Star - Mesh Screen back chair with Vinyl seat,FUR-CH-10001482
,,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,FUR-CH-10004983
,,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,FUR-CH-10001854
,,Office Star - Task Chair with Contemporary Loop Arms,FUR-CH-10002780
,,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,FUR-CH-10004626
,,Office Star Flex Back Scooter Chair with White Frame,FUR-CH-10001973
,,"Padded Folding Chairs, Black, 4/Carton",FUR-CH-10004698
,,SAFCO Arco Folding Chair,FUR-CH-10004287
,,"Safco Chair Connectors, 6/Carton",FUR-CH-10001797
,,Safco Contoured Stacking Chairs,FUR-CH-10000595
,,SAFCO Folding Chair Trolley,FUR-CH-10003606
,,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,FUR-CH-10002017
,,"Situations Contoured Folding Chairs, 4/Set",FUR-CH-10002647
,Furnishings,12-1/2 Diameter Round Wall Clock,FUR-FU-10002759
,,24-Hour Round Wall Clock,FUR-FU-10000076
,,36X48 HARDFLOOR CHAIRMAT,FUR-FU-10003247
,,3M Hangers With Command Adhesive,FUR-FU-10001935
,,3M Polarizing Light Filter Sleeves,FUR-FU-10001085
,,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",FUR-FU-10004665
,,"6"" Cubicle Wall Clock, Black",FUR-FU-10000260
,,9-3/4 Diameter Round Wall Clock,FUR-FU-10000629
,,Acrylic Self-Standing Desk Frames,FUR-FU-10001731
,,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",FUR-FU-10001185
,,Advantus Panel Wall Acrylic Frame,FUR-FU-10004020
,,Advantus Panel Wall Certificate Holder - 8.5x11,FUR-FU-10001591
,,Aluminum Document Frame,FUR-FU-10000246
,,Artistic Insta-Plaque,FUR-FU-10002157
,,"Career Cubicle Clock, 8 1/4"", Black",FUR-FU-10004245
,,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",FUR-FU-10004952
,,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,FUR-FU-10001918
,,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",FUR-FU-10002597
,,Coloredge Poster Frame,FUR-FU-10003347
,,"Computer Room Manger, 14""",FUR-FU-10001876
,,Contemporary Borderless Frame,FUR-FU-10003489
,,Contemporary Wood/Metal Frame,FUR-FU-10004909
,,"Contract Clock, 14"", Brown",FUR-FU-10001475
,,"Dana Fluorescent Magnifying Lamp, White, 36""",FUR-FU-10001986
,,Dana Halogen Swing-Arm Architect Lamp,FUR-FU-10001979
,,Dana Swing-Arm Lamps,FUR-FU-10001546
,,"DataProducts Ampli Magnifier Task Lamp, Black,",FUR-FU-10003623
,,DAX Black Cherry Wood-Tone Poster Frame,FUR-FU-10001095
,,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",FUR-FU-10001037
,,Dax Clear Box Frame,FUR-FU-10001424
,,DAX Clear Channel Poster Frame,FUR-FU-10004666
,,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",FUR-FU-10002813
,,"DAX Copper Panel Document Frame, 5 x 7 Size",FUR-FU-10002396
,,DAX Cubicle Frames - 8x10,FUR-FU-10001196
,,"DAX Cubicle Frames, 8-1/2 x 11",FUR-FU-10000719
,,"DAX Executive Solid Wood Document Frame, Desktop or Hang, Mahogany, 5 x 7",FUR-FU-10003976
,,"DAX Metal Frame, Desktop, Stepped-Edge",FUR-FU-10003849
,,DAX Natural Wood-Tone Poster Frame,FUR-FU-10000758
,,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",FUR-FU-10002445
,,DAX Two-Tone Silver Metal Document Frame,FUR-FU-10004053
,,"DAX Value U-Channel Document Frames, Easel Back",FUR-FU-10000010
,,DAX Wood Document Frame.,FUR-FU-10000175
,,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,FUR-FU-10000277
,,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",FUR-FU-10004006
,,"Deflect-o EconoMat Nonstudded, No Bevel Mat",FUR-FU-10004845
,,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",FUR-FU-10000723
,,Deflect-o Glass Clear Studded Chair Mats,FUR-FU-10000308
,,Deflect-O Glasstique Clear Desk Accessories,FUR-FU-10000073
,,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",FUR-FU-10003601
,,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",FUR-FU-10001588
,,Document Clip Frames,FUR-FU-10002508
,,"Eldon ""L"" Workstation Diamond Chairmat",FUR-FU-10004904
,,Eldon 100 Class Desk Accessories,FUR-FU-10002505
,,Eldon 200 Class Desk Accessories,FUR-FU-10000732
,,"Eldon 200 Class Desk Accessories, Burgundy",FUR-FU-10002960
,,"Eldon 200 Class Desk Accessories, Smoke",FUR-FU-10000771
,,"Eldon 300 Class Desk Accessories, Black",FUR-FU-10004164
,,"Eldon 400 Class Desk Accessories, Black Carbon",FUR-FU-10004963
,,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,FUR-FU-10003975
,,Eldon Advantage Foldable Chair Mats for Low Pile Carpets,FUR-FU-10004622
,,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,FUR-FU-10000293
,,Eldon Cleatmat Chair Mats for Medium Pile Carpets,FUR-FU-10004597
,,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,FUR-FU-10003773
,,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,FUR-FU-10002918
,,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",FUR-FU-10001602
,,Eldon Econocleat Chair Mats for Low Pile Carpets,FUR-FU-10002379
,,Eldon Executive Woodline II Cherry Finish Desk Accessories,FUR-FU-10003919
,,"Eldon Executive Woodline II Desk Accessories, Mahogany",FUR-FU-10001473
,,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",FUR-FU-10003194
,,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",FUR-FU-10001756
,,Eldon Expressions Mahogany Wood Desk Collection,FUR-FU-10000755
,,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",FUR-FU-10003832
,,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",FUR-FU-10001867
,,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",FUR-FU-10001487
,,"Eldon Expressions Wood and Plastic Desk Accessories, Oak",FUR-FU-10003731
,,"Eldon Expressions Wood Desk Accessories, Oak",FUR-FU-10002364
,,Eldon Image Series Black Desk Accessories,FUR-FU-10001847
,,"Eldon Imàge Series Desk Accessories, Clear",FUR-FU-10001025
,,"Eldon Image Series Desk Accessories, Ebony",FUR-FU-10003691
,,Eldon Pizzaz Desk Accessories,FUR-FU-10002107
,,Eldon Radial Chair Mat for Low to Medium Pile Carpets,FUR-FU-10003268
,,"Eldon Regeneration Recycled Desk Accessories, Black",FUR-FU-10003026
,,"Eldon Regeneration Recycled Desk Accessories, Smoke",FUR-FU-10001852
,,"Eldon Stackable Tray, Side-Load, Legal, Smoke",FUR-FU-10000794
,,Eldon Wave Desk Accessories,FUR-FU-10000023
,,Eldon Wave Desk Accessories,FUR-FU-10003981
,,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,FUR-FU-10002671
,,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",FUR-FU-10003664
,,Electrix Fluorescent Magnifier Lamps & Weighted Base,FUR-FU-10003374
,,Electrix Halogen Magnifier Lamp,FUR-FU-10004306
,,"Electrix Incandescent Magnifying Lamp, Black",FUR-FU-10002553
,,"Executive Impressions 10"" Spectator Wall Clock",FUR-FU-10000672
,,"Executive Impressions 12"" Wall Clock",FUR-FU-10004671
,,"Executive Impressions 13"" Clairmont Wall Clock",FUR-FU-10004270
,,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",FUR-FU-10002685
,,"Executive Impressions 14""",FUR-FU-10002045
,,"Executive Impressions 14"" Contract Wall Clock",FUR-FU-10004090
,,"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",FUR-FU-10002030
,,"Executive Impressions 14"" Two-Color Numerals Wall Clock",FUR-FU-10000087
,,"Executive Impressions 16-1/2"" Circular Wall Clock",FUR-FU-10001379
,,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",FUR-FU-10001617
,,Executive Impressions Supervisor Wall Clock,FUR-FU-10001290
,,Flat Face Poster Frame,FUR-FU-10004973
,,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",FUR-FU-10001861
,,G.E. Halogen Desk Lamp Bulbs,FUR-FU-10002191
,,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,FUR-FU-10004586
,,"GE 4 Foot Flourescent Tube, 40 Watt",FUR-FU-10000409
,,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",FUR-FU-10002937
,,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",FUR-FU-10000206
,,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",FUR-FU-10004587
,,Hand-Finished Solid Wood Document Frame,FUR-FU-10004093
,,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",FUR-FU-10001215
,,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",FUR-FU-10003039
,,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",FUR-FU-10000965
,,"Howard Miller 12"" Round Wall Clock",FUR-FU-10004460
,,Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock,FUR-FU-10003930
,,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",FUR-FU-10004091
,,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",FUR-FU-10002253
,,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",FUR-FU-10003553
,,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",FUR-FU-10004848
,,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",FUR-FU-10004864
,,"Howard Miller 16"" Diameter Gallery Wall Clock",FUR-FU-10004748
,,Howard Miller Distant Time Traveler Alarm Clock,FUR-FU-10003535
,,"Linden 10"" Round Wall Clock, Black",FUR-FU-10003878
,,"Linden 12"" Wall Clock With Oak Frame",FUR-FU-10003095
,,Longer-Life Soft White Bulbs,FUR-FU-10001706
,,Luxo Adjustable Task Clamp Lamp,FUR-FU-10003192
,,Luxo Economy Swing Arm Lamp,FUR-FU-10000397
,,Luxo Professional Combination Clamp-On Lamps,FUR-FU-10004188
,,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,FUR-FU-10000576
,,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,FUR-FU-10004071
,,Magna Visual Magnetic Picture Hangers,FUR-FU-10002885
,,Magnifier Swing Arm Lamp,FUR-FU-10001934
,,"Master Big Foot Doorstop, Beige",FUR-FU-10003142
,,"Master Caster Door Stop, Brown",FUR-FU-10000221
,,"Master Caster Door Stop, Gray",FUR-FU-10002963
,,"Master Caster Door Stop, Large Brown",FUR-FU-10002111
,,"Master Caster Door Stop, Large Neon Orange",FUR-FU-10002456
,,"Master Giant Foot Doorstop, Safety Yellow",FUR-FU-10003096
,,Nu-Dell Executive Frame,FUR-FU-10002501
,,Nu-Dell EZ-Mount Plastic Wall Frames,FUR-FU-10002240
,,Nu-Dell Float Frame 11 x 14 1/2,FUR-FU-10002088
,,Nu-Dell Leatherette Frames,FUR-FU-10003577
,,Nu-Dell Oak Frame,FUR-FU-10003424
,,OIC Stacking Trays,FUR-FU-10000320
,,Regeneration Desk Collection,FUR-FU-10003274
,,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",FUR-FU-10002298
,,"Seth Thomas 12"" Clock w/ Goldtone Case",FUR-FU-10004960
,,"Seth Thomas 13 1/2"" Wall Clock",FUR-FU-10003799
,,"Seth Thomas 14"" Day/Date Wall Clock",FUR-FU-10002878
,,"Seth Thomas 14"" Putty-Colored Wall Clock",FUR-FU-10000521
,,"Seth Thomas 16"" Steel Case Clock",FUR-FU-10000222
,,"Seth Thomas 8 1/2"" Cubicle Clock",FUR-FU-10003464
,,Stackable Trays,FUR-FU-10003829
,,"Stacking Tray, Side-Loading, Legal, Smoke",FUR-FU-10004415
,,Stacking Trays by OIC,FUR-FU-10000550
,,Staple-based wall hangings,FUR-FU-10001940
,,Staple-based wall hangings,FUR-FU-10004351
,,Telescoping Adjustable Floor Lamp,FUR-FU-10001967
,,"Tenex ""The Solids"" Textured Chair Mats",FUR-FU-10003394
,,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",FUR-FU-10001488
,,Tenex Antistatic Computer Chair Mats,FUR-FU-10001468
,,Tenex B1-RE Series Chair Mats for Low Pile Carpets,FUR-FU-10000747
,,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",FUR-FU-10002116
,,"Tenex Chairmat w/ Average Lip, 45"" x 53""",FUR-FU-10003806
,,Tenex Chairmats For Use With Carpeted Floors,FUR-FU-10000448
,,Tenex Chairmats For Use with Hard Floors,FUR-FU-10000193
,,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",FUR-FU-10004017
,,"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",FUR-FU-10002703
,,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",FUR-FU-10003708
,,"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",FUR-FU-10000305
,,"Tensor ""Hersey Kiss"" Styled Floor Lamp",FUR-FU-10002506
,,Tensor Brushed Steel Torchiere Floor Lamp,FUR-FU-10000820
,,Tensor Computer Mounted Lamp,FUR-FU-10004018
,,Tensor Track Tree Floor Lamp,FUR-FU-10001057
,,Ultra Commercial Grade Dual Valve Door Closer,FUR-FU-10002874
,,"Ultra Door Kickplate, 8""H x 34""W",FUR-FU-10003798
,,Ultra Door Pull Handle,FUR-FU-10001889
,,Ultra Door Push Plate,FUR-FU-10002268
,,Westinghouse Clip-On Gooseneck Lamps,FUR-FU-10003724
,,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",FUR-FU-10002554
,,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",FUR-FU-10004712
,Tables,Anderson Hickey Conga Table Tops & Accessories,FUR-TA-10003837
,,Balt Solid Wood Rectangular Table,FUR-TA-10001857
,,Balt Solid Wood Round Tables,FUR-TA-10001950
,,Balt Split Level Computer Training Table,FUR-TA-10003469
,,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",FUR-TA-10004152
,,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",FUR-TA-10001691
,,Bevis 36 x 72 Conference Tables,FUR-TA-10003748
,,Bevis 44 x 96 Conference Tables,FUR-TA-10004534
,,Bevis Boat-Shaped Conference Table,FUR-TA-10002356
,,"Bevis Oval Conference Table, Walnut",FUR-TA-10002958
,,Bevis Rectangular Conference Tables,FUR-TA-10000849
,,"Bevis Round Bullnose 29"" High Table Top",FUR-TA-10002903
,,Bevis Round Conference Room Tables and Bases,FUR-TA-10001866
,,Bevis Round Conference Table Top & Single Column Base,FUR-TA-10002855
,,"Bevis Round Conference Table Top, X-Base",FUR-TA-10002041
,,"Bevis Traditional Conference Table Top, Plinth Base",FUR-TA-10002228
,,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,FUR-TA-10004289
,,BPI Conference Tables,FUR-TA-10002533
,,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,FUR-TA-10004256
,,Bretford CR4500 Series Slim Rectangular Table,FUR-TA-10000577
,,Bretford CR8500 Series Meeting Room Furniture,FUR-TA-10003569
,,Bretford Rectangular Conference Table Tops,FUR-TA-10003473
,,Bush Advantage Collection Racetrack Conference Table,FUR-TA-10001889
,,Bush Advantage Collection Round Conference Table,FUR-TA-10001705
,,"Bush Andora Conference Table, Maple/Graphite Gray Finish",FUR-TA-10002622
,,"Bush Cubix Conference Tables, Fully Assembled",FUR-TA-10001771
,,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",FUR-TA-10001932
,,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",FUR-TA-10003238
,,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,FUR-TA-10000198
,,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",FUR-TA-10000688
,,Chromcraft Rectangular Conference Tables,FUR-TA-10001539
,,Chromcraft Round Conference Tables,FUR-TA-10001095
,,Global Adaptabilities Conference Tables,FUR-TA-10003392
,,Hon 2111 Invitation Series Corner Table,FUR-TA-10003715
,,Hon 2111 Invitation Series Straight Table,FUR-TA-10004607
,,"Hon 30"" x 60"" Table with Locking Drawer",FUR-TA-10004175
,,Hon 4060 Series Tables,FUR-TA-10004147
,,Hon 5100 Series Wood Tables,FUR-TA-10004575
,,Hon 61000 Series Interactive Training Tables,FUR-TA-10001676
,,Hon 94000 Series Round Tables,FUR-TA-10003954
,,Hon Non-Folding Utility Tables,FUR-TA-10004619
,,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",FUR-TA-10000617
,,Hon Racetrack Conference Tables,FUR-TA-10001768
,,Hon Rectangular Conference Tables,FUR-TA-10002645
,,"Iceberg OfficeWorks 42"" Round Tables",FUR-TA-10002530
,,KI Adjustable-Height Table,FUR-TA-10001039
,,KI Adjustable-Height Table,FUR-TA-10004086
,,KI Conference Tables,FUR-TA-10002607
,,Laminate Occasional Tables,FUR-TA-10002774
,,"Lesro Round Back Collection Coffee Table, End Table",FUR-TA-10003008
,,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",FUR-TA-10001520
,,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",FUR-TA-10004915
,,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",FUR-TA-10004154
,,Riverside Furniture Stanwyck Manor Table Series,FUR-TA-10004442
,,Safco Drafting Table,FUR-TA-10004767
,,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",FUR-TA-10001086
,,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",FUR-TA-10001307
Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",OFF-AP-10002118
,,3.6 Cubic Foot Counter Height Office Refrigerator,OFF-AP-10002534
,,3M Office Air Cleaner,OFF-AP-10002472
